city	name	county
"aberdeen, sd"	"aberdesd"	130
"aberdeen, wa"	"aberdewa"	270
"adrian, mi"	"adrianmi"	910
"akron, oh"	"akronoh"	1530
"alameda, ca"	"alamedca"	10
"albany, ny"	"albanyny"	10
"albert lea, mn"	"albertmn"	470
"albuquerque, nm"	"albuqunm"	10
"alhambra, ca"	"alhambca"	370
"aliquippa, pa"	"aliquipa"	70
"allentown, pa"	"allentpa"	770
"alliance, oh"	"allianoh"	1510
"alpena, mi"	"alpenami"	70
"alton, il"	"altonil"	1190
"altoona, pa"	"altoonpa"	130
"ambridge, pa"	"ambridpa"	70
"ames, ia"	"amesia"	1690
"amsterdam, ny"	"amsterny"	570
"anaconda, mt"	"anaconmt"	230
"anaheim, ca"	"anaheica"	590
"anderson, in"	"andersin"	950
"annapolis, md"	"annapomd"	30
"ann arbor, mi"	"annarbmi"	1610
"ansonia, ct"	"ansonict"	90
"appleton, wi"	"appletwi"	870
"arnold, pa"	"arnoldpa"	1290
"asbury park, nj"	"asburynj"	250
"ashland, oh"	"ashlanoh"	50
"ashland, wi"	"ashlanwi"	30
"ashtabula, oh"	"ashtaboh"	70
"astoria, or"	"astorior"	70
"atchison, ks"	"atchisks"	50
"atlantic city, nj"	"atlantnj"	10
"attleboro, ma"	"attlebma"	50
"auburn, me"	"auburnme"	10
"auburn, ny"	"auburnny"	110
"augusta, me"	"augustme"	110
"aurora, il"	"aurorail"	890
"austin, mn"	"austinmn"	990
"bakersfield, ca"	"bakersca"	290
"baltimore, md"	"baltimmd"	5100
"bangor, me"	"bangorme"	190
"barberton, oh"	"barberoh"	1530
"barre, vt"	"barrevt"	230
"batavia, ny"	"bataviny"	370
"battle creek, mi"	"battlemi"	250
"bay city, mi"	"baycitmi"	170
"bayonne, nj"	"bayonnnj"	170
"beacon, ny"	"beaconny"	270
"beatrice, ne"	"beatrine"	670
"beaver falls, pa"	"beaverpa"	70
"bedford, in"	"bedforin"	930
"bellaire, oh"	"bellaioh"	130
"belleville, il"	"bellevil"	1630
"belleville, nj"	"bellevnj"	130
"bellevue, pa"	"bellevpa"	30
"bellingham, wa"	"bellinwa"	730
"beloit, wi"	"beloitwi"	1050
"bennington, vt"	"benninvt"	30
"benton harbor, mi"	"bentonmi"	210
"berkeley, ca"	"berkelca"	10
"berlin, nh"	"berlinnh"	70
"berwick, pa"	"berwicpa"	370
"berwyn, il"	"berwynil"	310
"bethlehem, pa"	"bethlepa"	950
"bethlehem, pa"	"bethlepa"	770
"beverly hills, ca"	"beverlca"	370
"beverly, ma"	"beverlma"	90
"biddeford, me"	"biddefme"	310
"billings, mt"	"billinmt"	1110
"binghamton, ny"	"binghany"	70
"bismarck, nd"	"bismarnd"	150
"bloomfield, nj"	"bloomfnj"	130
"bloomington, il"	"bloomiil"	1130
"bloomington, in"	"bloomiin"	1050
"blue island, il"	"blueisil"	310
"boone, ia"	"booneia"	150
"boston, ma"	"bostonma"	250
"boulder, co"	"bouldeco"	130
"braddock, pa"	"braddopa"	30
"bradford, pa"	"bradfopa"	830
"brainerd, mn"	"brainemn"	350
"brawley, ca"	"brawleca"	250
"bremerton, wa"	"bremerwa"	350
"bridgeport, ct"	"bridgect"	10
"bridgeton, nj"	"bridgenj"	110
"bristol, ct"	"bristoct"	30
"bristol, pa"	"bristopa"	170
"brockton, ma"	"brocktma"	230
"brookfield, il"	"brookfil"	310
"bucyrus, oh"	"bucyruoh"	330
"buffalo, ny"	"buffalny"	290
"burbank, ca"	"burbanca"	370
"burlingame, ca"	"burlinca"	810
"burlington, ia"	"burlinia"	570
"burlington, nj"	"burlinnj"	50
"burlington, vt"	"burlinvt"	70
"butler, pa"	"butlerpa"	190
"butte, mt"	"buttemt"	930
"cairo, il"	"cairoil"	30
"calumet city, il"	"calumeil"	310
"cambridge, ma"	"cambrima"	170
"cambridge, oh"	"cambrioh"	590
"camden, nj"	"camdennj"	70
"campbell, oh"	"campbeoh"	990
"canonsburg, pa"	"canonspa"	1250
"canton, il"	"cantonil"	570
"canton, oh"	"cantonoh"	1510
"cape girardeau, mo"	"capegimo"	310
"carbondale, pa"	"carbonpa"	690
"carlisle, pa"	"carlispa"	410
"carnegie, pa"	"carnegpa"	30
"carteret, nj"	"carternj"	230
"casper, wy"	"casperwy"	250
"cedar rapids, ia"	"cedarria"	1130
"centralia, il"	"centrail"	1210
